Project Name,Package Name,Type Name,Method Name,Test Smell,Cause of the Smell
.,com.matchify.utils,FileUtilsTest,testGenerateTempFilePath,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 3
.,com.matchify.utils,FileUtilsTest,testGenerateTempFilePath,Exceptional handling,The tool detected the smell in this test method because the test uses try-catch block to assert/fail a check.
.,com.matchify.utils,FileUtilsTest,testGenerateUniqueFileNameForImage,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 2
.,com.matchify.controller,AuthControllerIntegrationTest,testUserRegister,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.
.,com.matchify.controller,AuthControllerIntegrationTest,testLogin,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.
.,com.matchify.controller,AuthControllerTest,testLoginAndGetToken,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 4
.,com.matchify.controller,AuthControllerTest,testLoginAndGetToken,Eager test,The tool detected the smell in this test method because the test checks the results of more than one method from class under test. The called methods are: com.matchify.controller.AuthController.loginAndGetToken; com.matchify.service.AuthService.loginAndGetToken
.,com.matchify.controller,AuthControllerTest,testAddNewUser,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 4
.,com.matchify.controller,AuthControllerTest,testAddNewUser,Eager test,The tool detected the smell in this test method because the test checks the results of more than one method from class under test. The called methods are: com.matchify.service.AuthService.addUser; com.matchify.controller.AuthController.addNewUser
.,com.matchify.controller,EventControllerTest,testCreateEvent,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 2
.,com.matchify.controller,EventControllerTest,testCreateEvent,Eager test,The tool detected the smell in this test method because the test checks the results of more than one method from class under test. The called methods are: com.matchify.service.EventService.createEvent; com.matchify.controller.EventController.createEvent
.,com.matchify.controller,EventControllerTest,testJoinEvent,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 2
.,com.matchify.controller,EventControllerTest,testJoinEvent,Eager test,The tool detected the smell in this test method because the test checks the results of more than one method from class under test. The called methods are: com.matchify.controller.EventController.joinEvent; com.matchify.service.EventService.joinEvent
.,com.matchify.controller,EventControllerTest,testMatchedEvents,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 3
.,com.matchify.controller,EventControllerTest,testMatchedEvents,Eager test,The tool detected the smell in this test method because the test checks the results of more than one method from class under test. The called methods are: com.matchify.service.EventService.getMatchedEvents; com.matchify.controller.EventController.getMatchedEvents
.,com.matchify.controller,EventControllerTest,testMyEvents,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 3
.,com.matchify.controller,EventControllerTest,testMyEvents,Eager test,The tool detected the smell in this test method because the test checks the results of more than one method from class under test. The called methods are: com.matchify.controller.EventController.getMyEvents; com.matchify.service.EventService.getMyEvents
.,com.matchify.controller,EventControllerTest,testLeaveEvent,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 2
.,com.matchify.controller,EventControllerTest,testLeaveEvent,Eager test,The tool detected the smell in this test method because the test checks the results of more than one method from class under test. The called methods are: com.matchify.service.EventService.leaveEvent; com.matchify.controller.EventController.leaveEvent
.,com.matchify.controller,EventControllerTest,testAttendeesList,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 5
.,com.matchify.controller,EventControllerTest,testAttendeesList,Eager test,The tool detected the smell in this test method because the test checks the results of more than one method from class under test. The called methods are: com.matchify.service.EventService.findAllEventAttendees; com.matchify.controller.EventController.attendeesList
.,com.matchify.controller,MatchControllerIntegrationTest,findMatches,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.
