Project Name,Package Name,Type Name,Method Name,Test Smell,Cause of the Smell
matchify,com.matchify.service.implementation,AuthServiceImplTest,testAddNewUser,Eager test,The tool detected the smell in this test method because the test checks the results of more than one method from class under test. The called methods are: com.matchify.repository.UserRepository.existsByEmail; com.matchify.service.implementation.AuthServiceImpl.addUser; com.matchify.config.JwtProvider.generateToken
matchify,com.matchify.service.implementation,AuthServiceImplTest,testLoginAndGetToken,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 2
matchify,com.matchify.service.implementation,AuthServiceImplTest,testLoginAndGetToken,Eager test,The tool detected the smell in this test method because the test checks the results of more than one method from class under test. The called methods are: com.matchify.service.implementation.AuthServiceImpl.loginAndGetToken; com.matchify.config.JwtProvider.generateToken; com.matchify.repository.UserRepository.findByEmail
matchify,com.matchify.service.implementation,MatchServiceImplTest,findMatchingUsers_ReturnsMatchingUsers,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 6
matchify,com.matchify.service.implementation,MatchServiceImplTest,getMatchedUsersProfile_ReturnsUserProfile,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 4
matchify,com.matchify.service.implementation,MatchServiceImplTest,storeMatch_StoresMatchInRepository,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.
matchify,com.matchify.service.implementation,ChatRoomServiceImplTest,getChatRoomId_existingRoom,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 2
matchify,com.matchify.service.implementation,ChatRoomServiceImplTest,getChatRoomId_existingRoom,Eager test,The tool detected the smell in this test method because the test checks the results of more than one method from class under test. The called methods are: com.matchify.service.implementation.ChatRoomServiceImpl.getChatRoomId; com.matchify.repository.ChatRoomRepository.findBySenderIdAndRecipientId
matchify,com.matchify.service.implementation,ChatRoomServiceImplTest,getChatRoomId_newRoom,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 2
matchify,com.matchify.service.implementation,ChatRoomServiceImplTest,getChatRoomId_newRoom,Eager test,The tool detected the smell in this test method because the test checks the results of more than one method from class under test. The called methods are: com.matchify.service.implementation.ChatRoomServiceImpl.getChatRoomId; com.matchify.repository.ChatRoomRepository.findBySenderIdAndRecipientId
matchify,com.matchify.service.implementation,ChatRoomServiceImplTest,createChatId,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 2
matchify,com.matchify.service.implementation,EventServiceImplTest,testStoreEvent,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.
